Age,EdLevel,Gender,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed,codingLge,frontSkills,backFrame,db,deploy,tool,targetTask
<35,Undergraduate,Man,Dev,4,0,8376.0,12,0,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,11,7,86478.0,19,1,1,1,1,1,1,1,0
<35,Other,Man,Dev,13,8,45564.0,21,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,16,7,134028.0,2,0,1,0,0,0,0,1,0
>35,Undergraduate,Man,Dev,40,25,98000.0,7,0,1,0,0,1,1,1,1
<35,Master,Man,Dev,17,10,36708.0,9,1,1,0,0,1,0,1,0
>35,NoHigherEd,Man,Dev,21,18,54049.0,18,1,1,1,1,1,1,1,0
>35,Master,Man,NotDev,27,7,56211.0,4,0,1,0,0,0,0,0,0
<35,Master,Man,Dev,13,6,60744.0,17,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,8,3,5208.0,20,1,1,1,1,1,1,1,1
>35,Undergraduate,Man,Dev,36,25,183767.0,8,0,1,0,0,0,1,1,0
<35,Undergraduate,Man,Dev,11,2,25128.0,25,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,17,10,49725.0,18,1,1,1,1,1,1,1,1
<35,Other,Man,Dev,13,4,36324.0,16,1,1,1,1,1,1,0,1
<35,Undergraduate,Man,Dev,3,1,82000.0,11,0,1,1,1,1,1,1,0
<35,PhD,Man,Dev,12,10,105000.0,3,0,1,0,0,0,1,0,0
<35,Other,Man,Dev,25,15,59454.0,27,1,1,1,1,1,1,1,1
<35,Other,Man,Dev,4,2,28437.0,12,0,1,1,1,1,1,1,0
<35,Other,Man,Dev,4,3,41004.0,9,1,1,1,1,1,0,1,0
>35,Undergraduate,Man,NotDev,25,5,101612.0,11,0,1,0,1,1,1,0,0
<35,Undergraduate,Man,Dev,15,9,135000.0,14,1,1,1,0,1,1,1,0
<35,Undergraduate,Man,Dev,6,7,31332.0,6,0,1,0,1,1,1,0,0
<35,Undergraduate,Man,Dev,10,6,50806.0,14,1,1,1,1,1,1,1,0
